"all.data.peaks.deseq2_LamBKO.seqnames"	"all.data.peaks.deseq2_LamBKO.start"	"all.data.peaks.deseq2_LamBKO.end"	"all.data.peaks.deseq2_LamBKO.width"	"all.data.peaks.deseq2_LamBKO.strand"	"all.data.peaks.deseq2_LamBKO.Conc"	"all.data.peaks.deseq2_LamBKO.Conc_Group1"	"all.data.peaks.deseq2_LamBKO.Conc_Group2"	"all.data.peaks.deseq2_LamBKO.Fold"	"all.data.peaks.deseq2_LamBKO.p.value"	"all.data.peaks.deseq2_LamBKO.FDR"	"all.data.peaks.deseq2_LamBKO.peak"	"all.data.peaks.deseq2_LamBKO.feature"	"all.data.peaks.deseq2_LamBKO.start_position"	"all.data.peaks.deseq2_LamBKO.end_position"	"all.data.peaks.deseq2_LamBKO.feature_strand"	"all.data.peaks.deseq2_LamBKO.insideFeature"	"all.data.peaks.deseq2_LamBKO.distancetoFeature"	"all.data.peaks.deseq2_LamBKO.shortestDistance"	"all.data.peaks.deseq2_LamBKO.fromOverlappingOrNearest"	"all.data.peaks.deseq2_LamBKO.symbol"	"all.data.peaks.deseq2_LamBKO.genename"
"chr3L"	21516647	21516847	201	"*"	7.1	7.4	6.88	0.52	0.00467	0.498	"7110"	"FBgn0037093"	21516306	21522684	"+"	"inside"	341	341	"NearestLocation"	"Cdk12"	"Cyclin-dependent kinase 12"
"chr2R"	20939450	20939650	201	"*"	4.79	5.33	4.33	1	0.00469	0.498	"4124"	"FBgn0000044"	20944021	20946431	"+"	"upstream"	-4571	4371	"NearestLocation"	"Act57B"	"Actin 57B"
"chr3L"	15532410	15532610	201	"*"	7.43	7.71	7.24	0.47	0.00475	0.498	"6378"	"FBgn0262893"	15530085	15531473	"-"	"upstream"	-937	937	"NearestLocation"	"CG43248"	"uncharacterized protein"
"chr3L"	15107537	15107737	201	"*"	5.91	6.27	5.65	0.62	0.00482	0.498	"6349"	"FBgn0264702"	15108001	15108935	"-"	"downstream"	1398	264	"NearestLocation"	NA	NA
"chr2R"	20424719	20424919	201	"*"	5.38	5.86	4.99	0.86	0.00486	0.498	"4093"	"FBgn0086604"	20424338	20478951	"+"	"inside"	381	381	"NearestLocation"	"side-VIII"	"sidestep VIII"
"chr3R"	18923326	18923526	201	"*"	7.35	7.66	7.14	0.52	0.00494	0.498	"8853"	"FBgn0038662"	18926996	18928659	"-"	"downstream"	5333	3470	"NearestLocation"	"Mpc1"	"Mitochondrial pyruvate carrier"
"chr2R"	10228003	10228203	201	"*"	6.52	6.86	6.27	0.58	0.00497	0.498	"2863"	"FBgn0284237"	10205454	10227957	"-"	"upstream"	-46	46	"NearestLocation"	"CG46321"	"uncharacterized protein"
"chr3R"	14429912	14430112	201	"*"	5.06	5.49	4.71	0.78	0.00498	0.498	"8388"	"FBgn0265065"	14421751	14422549	"-"	"upstream"	-7363	7363	"NearestLocation"	NA	NA
"chr2R"	20884538	20884738	201	"*"	7.39	7.67	7.19	0.48	0.00501	0.498	"4121"	"FBgn0034558"	20879930	20882663	"+"	"downstream"	4608	1875	"NearestLocation"	"Cib2"	"Calcium and integrin binding family member 2"
"chr4"	455146	455346	201	"*"	4.08	4.61	3.63	0.98	0.00504	0.498	"10235"	"FBgn0266619"	459768	461413	"+"	"upstream"	-4622	4422	"NearestLocation"	NA	NA
"chr3L"	5966958	5967158	201	"*"	4.17	4.68	3.74	0.95	0.00504	0.498	"5355"	"FBgn0035656"	5967545	5976007	"-"	"downstream"	9049	387	"NearestLocation"	"CG10479"	"uncharacterized protein"
"chr3R"	16982023	16982223	201	"*"	4.4	4.87	4.02	0.85	0.00507	0.498	"8671"	"FBgn0015011"	16978439	16982158	"-"	"overlapStart"	135	65	"NearestLocation"	"AhcyL2"	"Adenosylhomocysteinase like 2"
"chr2R"	15247397	15247597	201	"*"	4.87	5.31	4.51	0.8	0.00512	0.498	"3498"	"FBgn0286785"	15248784	15258498	"+"	"upstream"	-1387	1187	"NearestLocation"	"scb"	"scab"
"chr3R"	16221570	16221770	201	"*"	5.19	5.59	4.87	0.72	0.00513	0.498	"8593"	"FBgn0267203"	16223395	16223854	"+"	"upstream"	-1825	1625	"NearestLocation"	NA	NA
"chrX"	6603171	6603371	201	"*"	5.48	5.88	5.18	0.7	0.00514	0.498	"10978"	"FBgn0029881"	6600062	6653015	"+"	"inside"	3109	3109	"NearestLocation"	"pigs"	"pickled eggs"
"chr3L"	9467991	9468191	201	"*"	4.94	5.38	4.6	0.77	0.00519	0.498	"5761"	"FBgn0266101"	9461050	9475475	"+"	"inside"	6941	6941	"NearestLocation"	"CG44838"	"uncharacterized protein"
"chr3R"	24047348	24047548	201	"*"	7.63	7.92	7.41	0.51	0.00527	0.498	"9420"	"FBgn0043455"	24047790	24049168	"+"	"upstream"	-442	242	"NearestLocation"	"CG5986"	"uncharacterized protein"
"chrX"	3546025	3546225	201	"*"	7.39	7.68	7.18	0.5	0.00529	0.498	"10701"	"FBgn0267910"	3545750	3546110	"-"	"overlapStart"	85	85	"NearestLocation"	NA	NA
"chr3L"	6263854	6264054	201	"*"	6.28	6.63	6.02	0.62	0.00529	0.498	"5375"	"FBgn0265715"	6263008	6263399	"-"	"upstream"	-455	455	"NearestLocation"	NA	NA
"chr3R"	16005013	16005213	201	"*"	4.7	5.14	4.35	0.79	0.00531	0.498	"8566"	"FBgn0262028"	16004321	16008073	"-"	"inside"	3060	692	"NearestLocation"	NA	NA
"chr3R"	22358701	22358901	201	"*"	5.09	5.52	4.76	0.76	0.00538	0.501	"9208"	"FBgn0038947"	22356685	22360711	"+"	"inside"	2016	1810	"NearestLocation"	"Sar1"	"Secretion-associated Ras-related 1"
"chr3L"	1188922	1189122	201	"*"	6.44	6.78	6.2	0.57	0.0055	0.504	"4838"	"FBgn0035186"	1189588	1190472	"+"	"upstream"	-666	466	"NearestLocation"	"CG13912"	"uncharacterized protein"
"chrX"	15312120	15312320	201	"*"	6.91	7.19	6.71	0.48	0.00551	0.504	"11887"	"FBgn0266276"	15315056	15317967	"-"	"downstream"	5847	2736	"NearestLocation"	NA	NA
"chr2R"	24628202	24628402	201	"*"	3.3	3.92	2.75	1.17	0.00553	0.504	"4592"	"FBgn0086030"	24628627	24628744	"-"	"downstream"	542	225	"NearestLocation"	NA	NA
"chr3R"	26958405	26958605	201	"*"	4.47	4.95	4.09	0.87	0.00559	0.506	"9721"	"FBgn0039464"	26949692	26958491	"-"	"overlapStart"	86	86	"NearestLocation"	"CG6330"	"uncharacterized protein"
"chr2R"	18671433	18671633	201	"*"	6.54	6.87	6.3	0.57	0.00577	0.509	"3918"	"FBgn0023214"	18667527	18673536	"-"	"inside"	2103	1903	"NearestLocation"	"edl"	"ETS-domain lacking"
"chr3L"	20186560	20186760	201	"*"	6.89	7.23	6.63	0.6	0.00578	0.509	"6949"	"FBgn0036945"	20188522	20189779	"+"	"upstream"	-1962	1762	"NearestLocation"	"Ssk"	"Snakeskin"
"chr3L"	3543459	3543659	201	"*"	6.59	6.93	6.34	0.59	0.0058	0.509	"5137"	"FBgn0267470"	3555631	3556299	"-"	"downstream"	12840	11972	"NearestLocation"	NA	NA
"chr3L"	774655	774855	201	"*"	6.2	6.59	5.9	0.69	0.00582	0.509	"4781"	"FBgn0052481"	770363	770462	"+"	"downstream"	4292	4193	"NearestLocation"	NA	NA
"chr3L"	21026251	21026451	201	"*"	8.26	8.53	8.07	0.45	0.00583	0.509	"7037"	"FBgn0003415"	20992814	21027434	"-"	"inside"	1183	983	"NearestLocation"	"skd"	"skuld"
"chr2R"	19618021	19618221	201	"*"	4.67	5.18	4.25	0.92	0.0059	0.511	"4039"	"FBgn0265667"	19604695	19605295	"-"	"upstream"	-12726	12726	"NearestLocation"	NA	NA
"chr3L"	9967013	9967213	201	"*"	3.9	3.2	4.2	-1.01	0.00604	0.517	"5842"	"FBgn0036062"	9966603	9968317	"-"	"inside"	1304	410	"NearestLocation"	"CG6685"	"uncharacterized protein"
"chr2L"	16868877	16869077	201	"*"	6	6.42	5.67	0.76	0.00608	0.517	"1764"	"FBgn0051781"	16869346	16878300	"+"	"upstream"	-469	269	"NearestLocation"	NA	NA
"chr2R"	24293905	24294105	201	"*"	6.74	7.08	6.5	0.58	0.00616	0.517	"4553"	"FBgn0034999"	24294097	24298111	"+"	"overlapStart"	-192	8	"NearestLocation"	"Fatp3"	"Fatty acid transport protein 3"
"chrX"	7705353	7705553	201	"*"	6.79	7.09	6.57	0.53	0.00618	0.517	"11086"	"FBgn0262979"	7707775	7708587	"+"	"upstream"	-2422	2222	"NearestLocation"	NA	NA
"chr3L"	12277427	12277627	201	"*"	5.16	5.61	4.8	0.81	0.00618	0.517	"6105"	"FBgn0036273"	12277655	12281476	"+"	"upstream"	-228	28	"NearestLocation"	"INPP5E"	"Inositol polyphosphate 5-phosphatase E"
"chr2R"	15400920	15401120	201	"*"	4.9	5.39	4.51	0.89	0.00621	0.517	"3515"	"FBgn0263980"	15401096	15471884	"+"	"overlapStart"	-176	24	"NearestLocation"	"Stacl"	"Stac-like"
"chr3L"	18234270	18234470	201	"*"	6.31	6.63	6.08	0.56	0.00637	0.524	"6750"	"FBgn0267599"	18234246	18234760	"-"	"inside"	490	24	"NearestLocation"	NA	NA
"chr3L"	14636890	14637090	201	"*"	3.98	4.53	3.52	1	0.00638	0.524	"6309"	"FBgn0041604"	14632601	14671609	"+"	"inside"	4289	4289	"NearestLocation"	"dlp"	"dally-like"
"chr3L"	15104517	15104717	201	"*"	6.46	6.78	6.23	0.55	0.00644	0.526	"6348"	"FBgn0266441"	15105882	15110730	"+"	"upstream"	-1365	1165	"NearestLocation"	"CG45071"	"uncharacterized protein"
"chrX"	9283035	9283235	201	"*"	6.23	6.55	6	0.55	0.00661	0.535	"11289"	"FBgn0040236"	9275318	9283117	"-"	"overlapStart"	82	82	"NearestLocation"	"c11.1"	"c11.1"
"chr3R"	14722329	14722529	201	"*"	7.3	7.63	7.05	0.58	0.00664	0.535	"8432"	"FBgn0262127"	14697689	14724261	"-"	"inside"	1932	1732	"NearestLocation"	"kibra"	"kibra"
"chr3L"	3159630	3159830	201	"*"	3.92	4.43	3.49	0.94	0.00668	0.535	"5072"	"FBgn0266582"	3158485	3159578	"-"	"upstream"	-52	52	"NearestLocation"	"ND-30"	"NADH dehydrogenase (ubiquinone) 30 kDa subunit"
"chr2R"	19358120	19358320	201	"*"	6.53	6.83	6.32	0.52	0.00681	0.537	"3999"	"FBgn0034436"	19357532	19363124	"+"	"inside"	588	588	"NearestLocation"	"CG11961"	"uncharacterized protein"
"chrX"	11686411	11686611	201	"*"	4.43	4.86	4.09	0.78	0.00683	0.537	"11540"	"FBgn0014133"	11678970	11694740	"+"	"inside"	7441	7441	"NearestLocation"	"bif"	"bifocal"
"chr3R"	12439823	12440023	201	"*"	5.94	6.3	5.67	0.64	0.00686	0.537	"8184"	"FBgn0086687"	12439600	12447616	"+"	"inside"	223	223	"NearestLocation"	"Desat1"	"Desaturase 1"
"chr3L"	11819905	11820105	201	"*"	7.01	7.32	6.78	0.55	0.00687	0.537	"6059"	"FBgn0036212"	11820338	11822275	"-"	"downstream"	2370	233	"NearestLocation"	"CG11597"	"uncharacterized protein"
"chrX"	19315609	19315809	201	"*"	6.29	6.58	6.08	0.49	0.00694	0.538	"12355"	"FBgn0259834"	19310513	19322106	"-"	"inside"	6497	5096	"NearestLocation"	"out"	"outsiders"
"chr3L"	18005366	18005566	201	"*"	6.39	6.7	6.17	0.53	0.00704	0.538	"6712"	"FBgn0086081"	18002978	18003078	"-"	"upstream"	-2288	2288	"NearestLocation"	NA	NA
"chr2L"	8709153	8709353	201	"*"	7.38	7.64	7.2	0.43	0.00704	0.538	"986"	"FBgn0004914"	8687226	8709611	"-"	"inside"	458	258	"NearestLocation"	"Hnf4"	"Hepatocyte nuclear factor 4"
"chrX"	3780904	3781104	201	"*"	7.49	7.76	7.29	0.47	0.00707	0.538	"10734"	"FBgn0263532"	3777382	3777505	"+"	"downstream"	3522	3399	"NearestLocation"	NA	NA
"chrX"	18905550	18905750	201	"*"	5.89	6.3	5.58	0.72	0.00712	0.539	"12321"	"FBgn0030976"	18900410	18911843	"+"	"inside"	5140	5140	"NearestLocation"	"CG7378"	"uncharacterized protein"
"chr3L"	4899112	4899312	201	"*"	4.25	4.74	3.84	0.9	0.00716	0.539	"5269"	"FBgn0035583"	4898900	4900869	"+"	"inside"	212	212	"NearestLocation"	"CG13704"	"uncharacterized protein"
"chr3R"	26464581	26464781	201	"*"	6.57	6.84	6.38	0.46	0.00744	0.553	"9675"	"FBgn0039430"	26461527	26470008	"+"	"inside"	3054	3054	"NearestLocation"	"CG5455"	"uncharacterized protein"
"chrX"	20630948	20631148	201	"*"	4.73	5.26	4.29	0.97	0.00745	0.553	"12469"	"FBgn0083981"	20590252	20623773	"-"	"upstream"	-7175	7175	"NearestLocation"	"RunxA"	"Runt related A"
"chr3L"	20621684	20621884	201	"*"	6.92	7.23	6.69	0.54	0.00748	0.553	"7009"	"FBgn0001323"	20597141	20620659	"-"	"upstream"	-1025	1025	"NearestLocation"	"knrl"	"knirps-like"
"chrX"	11694951	11695151	201	"*"	7.7	7.95	7.52	0.44	0.00758	0.555	"11542"	"FBgn0011754"	11695137	11704394	"+"	"overlapStart"	-186	14	"NearestLocation"	"PhKgamma"	"Phosphorylase kinase gamma"
"chr2R"	10423272	10423472	201	"*"	6.86	7.17	6.64	0.52	0.00768	0.555	"2880"	"FBgn0033519"	10420414	10423650	"-"	"inside"	378	178	"NearestLocation"	"CG11825"	"uncharacterized protein"
"chr3L"	17566616	17566816	201	"*"	6.76	7.05	6.56	0.48	0.00769	0.555	"6639"	"FBgn0086080"	17566042	17566162	"-"	"upstream"	-454	454	"NearestLocation"	NA	NA
"chrX"	13823819	13824019	201	"*"	4.66	5.07	4.34	0.73	0.0077	0.555	"11777"	"FBgn0027537"	13822826	13825910	"+"	"inside"	993	993	"NearestLocation"	"Nup93-1"	"Nucleoporin 93kD-1"
"chr3R"	30993021	30993221	201	"*"	3.85	3.18	4.14	-0.97	0.00772	0.555	"10105"	"FBgn0267786"	30992803	30993615	"-"	"inside"	594	218	"NearestLocation"	NA	NA
"chr2L"	22144171	22144371	201	"*"	7.43	7.72	7.22	0.5	0.00781	0.558	"2194"	"FBgn0083973"	22151623	22152640	"+"	"upstream"	-7452	7252	"NearestLocation"	"dunk"	"disrupted underground network"
"chrX"	19565858	19566058	201	"*"	4.83	5.26	4.49	0.77	0.00788	0.559	"12376"	"FBgn0000257"	19566019	19569401	"+"	"overlapStart"	-161	39	"NearestLocation"	"car"	"carnation"
"chr2R"	16551936	16552136	201	"*"	6.31	6.63	6.07	0.56	0.00794	0.559	"3648"	"FBgn0034135"	16552258	16558486	"+"	"upstream"	-322	122	"NearestLocation"	"Syn2"	"Syntrophin-like 2"
"chr4"	374527	374727	201	"*"	5.43	5.81	5.15	0.65	0.00802	0.559	"10228"	"FBgn0266618"	380724	381275	"+"	"upstream"	-6197	5997	"NearestLocation"	NA	NA
"chr2L"	6919212	6919412	201	"*"	7.74	7.99	7.57	0.41	0.00802	0.559	"726"	"FBgn0026196"	6916753	6918743	"-"	"upstream"	-469	469	"NearestLocation"	"nop5"	"nop5"
"chr3R"	20957193	20957393	201	"*"	6.91	7.18	6.72	0.46	0.00804	0.559	"9044"	"FBgn0002921"	20948714	20976239	"+"	"inside"	8479	8479	"NearestLocation"	"Atpalpha"	"Na pump alpha subunit"
"chr3R"	19790860	19791060	201	"*"	6.94	7.2	6.76	0.45	0.0081	0.56	"8934"	"FBgn0051215"	19790972	19791044	"+"	"includeFeature"	-112	16	"NearestLocation"	NA	NA
"chr3R"	21807851	21808051	201	"*"	3.28	3.9	2.73	1.16	0.0083	0.57	"9147"	"FBgn0263521"	21798514	21798671	"-"	"upstream"	-9180	9180	"NearestLocation"	NA	NA
"chrX"	19637850	19638050	201	"*"	7.85	8.1	7.67	0.44	0.00839	0.57	"12388"	"FBgn0087008"	19626548	19638369	"-"	"inside"	519	319	"NearestLocation"	"e(y)3"	"enhancer of yellow 3"
"chr3L"	8672862	8673062	201	"*"	6.82	7.13	6.6	0.53	0.00839	0.57	"5635"	"FBgn0001168"	8675759	8679253	"+"	"upstream"	-2897	2697	"NearestLocation"	"h"	"hairy"
"chr2R"	6741792	6741992	201	"*"	6.29	6.61	6.06	0.55	0.0086	0.571	"2398"	"FBgn0028579"	6741899	6746141	"+"	"overlapStart"	-107	93	"NearestLocation"	"phtf"	"phtf"
"chrX"	10290672	10290872	201	"*"	5.45	5.81	5.17	0.64	0.00866	0.571	"11369"	"FBgn0040942"	10264233	10265263	"-"	"upstream"	-25409	25409	"NearestLocation"	"CG12643"	"uncharacterized protein"
"chrX"	18814441	18814641	201	"*"	5.4	5.78	5.12	0.66	0.00868	0.571	"12308"	"FBgn0259927"	18813297	18830406	"+"	"inside"	1144	1144	"NearestLocation"	"CG42450"	"uncharacterized protein"
"chrX"	19578559	19578759	201	"*"	7.25	7.52	7.06	0.46	0.00871	0.571	"12377"	"FBgn0031030"	19569721	19579800	"-"	"inside"	1241	1041	"NearestLocation"	"Tao"	"Tao"
"chr2R"	8649437	8649637	201	"*"	6.87	7.22	6.61	0.6	0.00872	0.571	"2651"	"FBgn0003892"	8649649	8665223	"+"	"upstream"	-212	12	"NearestLocation"	"ptc"	"patched"
"chrX"	1388437	1388637	201	"*"	6.52	6.78	6.34	0.44	0.00879	0.571	"10438"	"FBgn0024985"	1393054	1397337	"+"	"upstream"	-4617	4417	"NearestLocation"	"Rilpl"	"Rab interacting lysosomal protein like"
"chr3R"	23958423	23958623	201	"*"	6.24	6.58	5.98	0.6	0.00879	0.571	"9405"	"FBgn0039132"	23958651	23962555	"+"	"upstream"	-228	28	"NearestLocation"	"AP-1sigma"	"Adaptor Protein complex 1, sigma subunit"
"chr2L"	13042647	13042847	201	"*"	5.52	5.87	5.26	0.61	0.00887	0.571	"1431"	"FBgn0262160"	13021868	13060140	"-"	"inside"	17493	17293	"NearestLocation"	"CG9932"	"uncharacterized protein"
"chr2L"	3803849	3804049	201	"*"	7.48	7.76	7.28	0.48	0.00901	0.571	"429"	"FBgn0021800"	3803545	3810671	"+"	"inside"	304	304	"NearestLocation"	"Reph"	"Regulator of eph expression"
"chr2R"	22926437	22926637	201	"*"	6.4	6.72	6.17	0.55	0.00908	0.571	"4374"	"FBgn0261564"	22925107	22932044	"+"	"inside"	1330	1330	"NearestLocation"	"ReepA"	"Receptor expression enhancing protein A"
"chr3R"	14100646	14100846	201	"*"	4.12	4.59	3.74	0.86	0.00908	0.571	"8353"	"FBgn0038201"	14099832	14103122	"-"	"inside"	2476	814	"NearestLocation"	"PK1-R"	"Pyrokinin 1 receptor"
"chr2L"	16601563	16601763	201	"*"	7.45	7.75	7.24	0.51	0.00929	0.571	"1707"	"FBgn0051815"	16605822	16607321	"+"	"upstream"	-4259	4059	"NearestLocation"	"CG31815"	"uncharacterized protein"
"chr2R"	18666545	18666745	201	"*"	5.04	5.46	4.72	0.75	0.00943	0.571	"3916"	"FBgn0053136"	18664449	18665792	"-"	"upstream"	-753	753	"NearestLocation"	"CG33136"	"uncharacterized protein"
"chrX"	707983	708183	201	"*"	3.32	3.92	2.79	1.13	0.00945	0.571	"10357"	"FBgn0021764"	686834	749496	"+"	"inside"	21149	21149	"NearestLocation"	"sdk"	"sidekick"
"chr3R"	12561176	12561376	201	"*"	4.03	4.53	3.62	0.91	0.00946	0.571	"8192"	"FBgn0262383"	12551515	12551614	"-"	"upstream"	-9562	9562	"NearestLocation"	NA	NA
"chr3R"	22698347	22698547	201	"*"	6.37	6.67	6.16	0.51	0.0095	0.571	"9261"	"FBgn0039006"	22698319	22700307	"+"	"inside"	28	28	"NearestLocation"	"Cyp6d4"	"Cyp6d4"
"chrX"	16415158	16415358	201	"*"	4.56	4.96	4.24	0.72	0.0096	0.571	"12020"	"FBgn0030748"	16415046	16417585	"+"	"inside"	112	112	"NearestLocation"	"Traf-like"	"TNF-receptor-associated factor-like"
"chr3R"	14819797	14819997	201	"*"	4.98	5.38	4.68	0.7	0.0096	0.571	"8448"	"FBgn0038262"	14801773	14804342	"+"	"downstream"	18024	15455	"NearestLocation"	"CG14857"	"uncharacterized protein"
"chr2R"	9506249	9506449	201	"*"	4.55	4.99	4.2	0.79	0.00961	0.571	"2752"	"FBgn0259246"	9503765	9541565	"+"	"inside"	2484	2484	"NearestLocation"	"brp"	"bruchpilot"
"chrX"	15484592	15484792	201	"*"	4.83	5.24	4.51	0.73	0.00976	0.571	"11908"	"FBgn0027287"	15486922	15511223	"+"	"upstream"	-2330	2130	"NearestLocation"	"Gmap"	"Golgi microtubule-associated protein"
"chr2L"	17430932	17431132	201	"*"	6.16	6.49	5.93	0.56	0.00984	0.571	"1790"	"FBgn0265582"	17429706	17430157	"+"	"downstream"	1226	775	"NearestLocation"	NA	NA
"chr3L"	3437557	3437757	201	"*"	5.5	5.9	5.2	0.7	0.00986	0.571	"5119"	"FBgn0014388"	3401153	3424935	"-"	"upstream"	-12622	12622	"NearestLocation"	"sty"	"sprouty"
"chr2R"	9137829	9138029	201	"*"	7.58	7.83	7.41	0.43	0.00987	0.571	"2709"	"FBgn0260972"	9135375	9137933	"-"	"overlapStart"	104	96	"NearestLocation"	"alc"	"alicorn"
"chrX"	3432780	3432980	201	"*"	6.88	7.15	6.69	0.46	0.0099	0.571	"10691"	"FBgn0029658"	3434943	3435807	"-"	"downstream"	3027	1963	"NearestLocation"	"CG14269"	"uncharacterized protein"
"chrX"	6804702	6804902	201	"*"	6.5	6.8	6.29	0.51	0.00991	0.571	"11016"	"FBgn0029903"	6803684	6813830	"+"	"inside"	1018	1018	"NearestLocation"	"pod1"	"pod1 coronin"
"chrX"	5517116	5517316	201	"*"	7.3	7.58	7.11	0.47	0.00998	0.571	"10850"	"FBgn0267074"	5516993	5517500	"-"	"inside"	384	123	"NearestLocation"	NA	NA
"chr3L"	5845645	5845845	201	"*"	7.03	7.29	6.85	0.44	0.01	0.571	"5345"	"FBgn0003984"	5813338	5845664	"-"	"overlapStart"	19	19	"NearestLocation"	"vn"	"vein"
"chr3R"	29250438	29250638	201	"*"	4.54	4.95	4.21	0.74	0.01	0.571	"9900"	"FBgn0263236"	29244961	29250451	"-"	"overlapStart"	13	13	"NearestLocation"	"SP1029"	"SP1029"
"chr2L"	4981442	4981642	201	"*"	6.65	6.94	6.44	0.49	0.01	0.571	"525"	"FBgn0083962"	4981614	4992702	"+"	"overlapStart"	-172	28	"NearestLocation"	"CG34126"	"uncharacterized protein"
"chr3R"	25756685	25756885	201	"*"	5.09	5.54	4.74	0.8	0.0101	0.571	"9613"	"FBgn0066101"	25741348	25763105	"-"	"inside"	6420	6220	"NearestLocation"	"LpR1"	"Lipophorin receptor 1"
"chr3R"	19890573	19890773	201	"*"	7.72	8	7.53	0.47	0.0101	0.571	"8951"	"FBgn0038744"	19890689	19898738	"+"	"overlapStart"	-116	84	"NearestLocation"	"CG4733"	"uncharacterized protein"
"chr2R"	12540498	12540698	201	"*"	4.03	4.51	3.64	0.87	0.0101	0.571	"3163"	"FBgn0053752"	12545689	12546301	"+"	"upstream"	-5191	4991	"NearestLocation"	"CG33752"	"uncharacterized protein"
"chr3R"	19256448	19256648	201	"*"	3.55	4.08	3.1	0.97	0.0101	0.571	"8898"	"FBgn0038695"	19256777	19260132	"+"	"upstream"	-329	129	"NearestLocation"	"CG14280"	"uncharacterized protein"
"chr3L"	21225802	21226002	201	"*"	5.67	6.05	5.38	0.67	0.0102	0.571	"7068"	"FBgn0004865"	21226609	21266503	"+"	"upstream"	-807	607	"NearestLocation"	"Eip78C"	"Ecdysone-induced protein 78C"
"chr3L"	5246904	5247104	201	"*"	5.27	5.66	4.98	0.68	0.0103	0.571	"5290"	"FBgn0035598"	5234483	5236631	"+"	"downstream"	12421	10273	"NearestLocation"	"CG4669"	"uncharacterized protein"
"chrX"	10735845	10736045	201	"*"	7.18	7.47	6.97	0.5	0.0104	0.571	"11418"	"FBgn0003204"	10744502	10749097	"+"	"upstream"	-8657	8457	"NearestLocation"	"ras"	"raspberry"
"chr2R"	15485558	15485758	201	"*"	4.62	5.04	4.3	0.73	0.0105	0.571	"3518"	"FBgn0034021"	15472175	15482834	"-"	"upstream"	-2724	2724	"NearestLocation"	"CG8180"	"uncharacterized protein"
"chr3R"	18292547	18292747	201	"*"	5.7	6.04	5.44	0.6	0.0106	0.571	"8789"	"FBgn0038598"	18286620	18288777	"-"	"upstream"	-3770	3770	"NearestLocation"	"CG7131"	"uncharacterized protein"
"chr3L"	9455503	9455703	201	"*"	7.03	7.3	6.83	0.47	0.0107	0.571	"5757"	"FBgn0035997"	9452803	9456281	"-"	"inside"	778	578	"NearestLocation"	"phol"	"pleiohomeotic like"
"chr3R"	20914119	20914319	201	"*"	6.07	6.37	5.85	0.52	0.0107	0.571	"9042"	"FBgn0038842"	20914296	20929213	"+"	"overlapStart"	-177	23	"NearestLocation"	"hdly"	"hadley"
"chrX"	13930964	13931164	201	"*"	5.77	6.15	5.49	0.66	0.0108	0.571	"11787"	"FBgn0030536"	13955236	13956574	"+"	"upstream"	-24272	24072	"NearestLocation"	"CG11068"	"uncharacterized protein"
"chr2L"	21629289	21629489	201	"*"	7.72	7.98	7.55	0.42	0.0108	0.571	"2170"	"FBgn0022893"	21626309	21629932	"-"	"inside"	643	443	"NearestLocation"	"Df31"	"Decondensation factor 31"
"chr3R"	18450312	18450512	201	"*"	5.84	6.18	5.6	0.58	0.0108	0.571	"8814"	"FBgn0051122"	18406064	18412874	"-"	"upstream"	-37438	37438	"NearestLocation"	"CG31122"	"uncharacterized protein"
"chr3R"	31309353	31309553	201	"*"	3.95	4.43	3.57	0.85	0.011	0.571	"10127"	"FBgn0085376"	31311157	31371748	"+"	"upstream"	-1804	1604	"NearestLocation"	"CG34347"	"uncharacterized protein"
"chrX"	2790210	2790410	201	"*"	7.33	7.58	7.15	0.44	0.0111	0.571	"10638"	"FBgn0040384"	2782906	2790567	"-"	"inside"	357	157	"NearestLocation"	"CG32795"	"uncharacterized protein"
"chr3R"	21982612	21982812	201	"*"	3.77	3.04	4.08	-1.04	0.0111	0.571	"9175"	"FBgn0038921"	22014697	22016212	"+"	"upstream"	-32085	31885	"NearestLocation"	"Theg"	"Testicular haploid expressed gene"
"chrX"	19261716	19261916	201	"*"	6.7	6.97	6.51	0.46	0.0112	0.571	"12346"	"FBgn0040068"	19261820	19273280	"+"	"overlapStart"	-104	96	"NearestLocation"	"Vav"	"Vav guanine nucleotide exchange factor"
"chr3R"	23733145	23733345	201	"*"	5.59	5.97	5.29	0.67	0.0112	0.571	"9366"	"FBgn0263782"	23733324	23750992	"+"	"overlapStart"	-179	21	"NearestLocation"	"Hmgcr"	"HMG Coenzyme A reductase"
"chr3L"	12434518	12434718	201	"*"	5.63	5.94	5.39	0.55	0.0112	0.571	"6118"	"FBgn0036285"	12422510	12432668	"-"	"upstream"	-1850	1850	"NearestLocation"	"toe"	"twin of eyg"
"chr2R"	21843123	21843323	201	"*"	4.28	3.72	4.54	-0.82	0.0112	0.571	"4252"	"FBgn0050407"	21843097	21843168	"-"	"overlapStart"	45	26	"NearestLocation"	NA	NA
"chr3L"	19091608	19091808	201	"*"	6.72	7	6.52	0.48	0.0113	0.571	"6835"	"FBgn0036846"	19092670	19094760	"+"	"upstream"	-1062	862	"NearestLocation"	"MESR6"	"Misexpression suppressor of ras 6"
"chr3R"	7779794	7779994	201	"*"	5.11	5.51	4.81	0.7	0.0113	0.571	"7656"	"FBgn0042104"	7780884	7783446	"-"	"downstream"	3652	890	"NearestLocation"	"CG18747"	"uncharacterized protein"
